DIff1_Matrix_St1       1.00    2305.16        nan         nan        nan         nan     28.3603     0.348803    -0.133045   -0.0822532      29.3913      1.05996     0.173679     0.326296      29.4039         1.64   -0.0667176    -0.193937      32.8754     0.202277    -0.196424    -0.070423 
DIff1_Matrix_St1       2.00    2308.66        nan         nan        nan         nan     28.3482     0.352112    -0.128884   -0.0804367      29.3909      1.13955      0.16651     0.336316      29.4054      1.62099   -0.0641253     -0.18424      32.8598     0.202606    -0.188614   -0.0677334 
DIff1_Matrix_St1       3.00    2312.15        nan         nan        nan         nan     28.3401     0.346603    -0.125178   -0.0769015      29.3906      1.01697     0.173165     0.312135      29.4045      1.80309   -0.0684632    -0.218801      32.8519     0.205537    -0.185659   -0.0676366 
DIff1_Matrix_St1       4.00    2315.65        nan         nan        nan         nan     28.3357     0.342018    -0.124607   -0.0755385      29.3901      1.15485     0.162404      0.33243      29.4053      1.68795   -0.0649188    -0.194224      32.8496     0.190373    -0.192048   -0.0648025 
DIff1_Matrix_St1       5.00    2319.15        nan         nan        nan         nan     28.3333     0.343294    -0.121785   -0.0741027      29.3916      1.02389     0.170174     0.308832      29.4043      1.83979   -0.0685669    -0.223593      32.8372     0.199882    -0.184699   -0.0654353 
DIff1_Matrix_St1       6.00    2322.65        nan         nan        nan         nan     28.3283     0.330116    -0.124194   -0.0726677      29.3913      1.27204     0.155018     0.349509      29.4051      1.68517   -0.0624288    -0.186467      32.8327     0.195206    -0.181451   -0.0627811 
DIff1_Matrix_St1       7.00    2326.15        nan         nan        nan         nan     28.3272     0.323287    -0.120648   -0.0691325      29.3917      1.12298     0.164056     0.326541      29.4051      1.81781   -0.0662052    -0.213312      32.8368     0.181784     -0.18737   -0.0603715 
DIff1_Matrix_St1       8.00    2329.65        nan         nan        nan         nan     28.3274     0.330343    -0.119981   -0.0702511      29.3933      1.25198     0.155931     0.346022      29.4029      1.74716   -0.0628807    -0.194727      32.8336     0.189081    -0.179926   -0.0603001 
DIff1_Matrix_St1       9.00    2333.14        nan         nan        nan         nan     28.3265     0.335572     -0.11655   -0.0693226      29.3909      1.02837     0.169983     0.309833      29.4032      1.98208   -0.0680817    -0.239181      32.8273     0.183807    -0.183169   -0.0596743 
DIff1_Matrix_St1      10.00    2336.64        nan         nan        nan         nan      28.324     0.321933    -0.116239   -0.0663271      29.3891      1.03999     0.166002     0.305998      29.4033        2.012   -0.0682683    -0.243457      32.8267     0.183008    -0.178082   -0.0577652 
DIff1_Matrix_St1      11.00    2340.14        nan         nan        nan         nan     28.3228     0.323907    -0.113099   -0.0649311      29.3921      1.19045     0.157331     0.331971      29.4041      1.86268   -0.0655811    -0.216517      32.8261     0.183696    -0.174172   -0.0567091 
DIff1_Matrix_St1      12.00    2343.64        nan         nan        nan         nan     28.3198     0.324958    -0.112305   -0.0646845       29.393      1.37031     0.147612     0.358521      29.4035      1.71776   -0.0601312    -0.183079      32.8261     0.180277    -0.179181    -0.057254 
